eMAS_ID,COD_sect_ave,COD_sect_std,COD_sect_n,Height_sect_ave,Height_sect_std,Height_sect_n,Phase_sect_ave,Phase_sect_std,Phase_sect_n,Phase_sect_mode,Phase_sect_mode_perc,Temp_sect_ave,Temp_sect_std,Temp_sect_n,background_aod,near_cloud_aod,background_aod_sect,near_cloud_aod_sect,solar_zen
13956_17,40.244941901027268,39.516331806345939,41567,1.6030007622008746,0.89403752719692775,132511,2.0027766971035388,0.07446935047570058,131091,2.0,0.99861165144823061,290.94991810679477,5.8433759495394186,132511,0.12671287602843359,0.21330612915306268,0.27954655225235608,0.2934277116432728,33.145275796347086
13956_17,27.338854057567985,31.747353052985314,27689,2.0041877838713926,2.7469247006354895,106122,2.1260529884815953,0.48359807251329218,104702,2.0,0.9357987430994632,288.17339568090841,18.21305886983847,106122,0.12671287602843359,0.21330612915306268,0.16012370796319225,0.2376876904407868,33.145275796347086
13956_17,38.144278616658532,40.712748273612853,41060,2.4291649401308297,2.6202528563869398,132539,2.1188919988712542,0.46652600047823412,131119,2.0,0.93755290995202833,285.69490032092648,17.069715582232057,132539,0.12671287602843359,0.21330612915306268,0.1686517509273206,0.20962385953950843,33.145275796347086
13956_17,22.638044621979727,35.993075430645199,41056,6.6260823635378667,5.8379623464338417,153211,2.6019065689006595,0.78533561973278987,151791,2.0,0.58666192330243561,258.4086482372096,37.917191262035423,153211,0.12671287602843359,0.21330612915306268,0.19574084672505235,0.23218668967353343,33.145275796347086
13956_17,15.758898725702943,28.487246396153914,86636,8.4087602827054138,5.4957782971277611,262747,2.7335292564488172,0.77890200795132203,261327,2.0,0.47208286935525223,246.65806076344705,35.874540984913942,262747,0.12671287602843359,0.21330612915306268,0.25959612902222412,0.33798353189549046,33.145275796347086
13956_20,2.1283253663156723,1.8536648580517086,89745,8.1237974355927065,5.0299485979474641,302916,3.0129726782496524,0.86988240207174117,300786,4.0,0.38491818103236186,248.12080774884245,32.295114863278386,302916,0.13355383377954652,0.17976560010539641,0.229141624968908,0.23585087120271106,38.012656915749254
13956_20,2.4623426481411279,1.1892198147447277,224195,12.055369831616035,2.6083129422750244,386557,3.0527578498040957,0.41274398297076542,385137,3.0,0.82685901380547699,221.79960630282747,17.133739337967647,386557,0.13355383377954652,0.17976560010539641,0.13727681317324145,0.15852586689453832,38.012656915749254
13956_20,36.773089062408275,49.630872533539375,170330,7.1539686469636106,4.5243079256460783,266896,2.7106593439708297,0.55338447048900274,265476,3.0,0.61004761259021534,256.01512814998563,28.835482924647497,266896,0.13355383377954652,0.17976560010539641,0.19492158310979796,0.27659635760003914,38.012656915749254
13957_03,14.595990932642492,8.8688048976955898,1544,1.3392846290379836,0.50194120933656983,14085,2.0,0.0,11955,2.0,1.0,293.64571441627237,3.8911320245366627,14085,0.42589170825092476,0.54356347763393265,0.3980629551089101,0.42410684197524801,29.998207780913905
13957_03,23.835403820375337,23.259580457252124,5968,1.5319625196180144,0.57191232217754262,37593,2.000165869571227,0.018212952252165425,36173,2.0,0.99991706521438639,291.97153498431504,4.0546985517817546,37593,0.42589170825092476,0.54356347763393265,0.46547968123042677,0.51741597791126781,29.998207780913905
13957_03,27.163211971613698,25.456276154186231,3241,1.5180081883812202,0.71475637092739208,20639,2.0005203184348823,0.032254707229962855,19219,2.0,0.99973984078255895,292.15797593015071,4.9618811114008867,20639,0.42589170825092476,0.54356347763393265,0.44526694376281983,0.47694033593175955,29.998207780913905
13957_03,29.519816128963928,27.454636287493678,47207,2.1654309575833253,1.4521414894156814,144165,2.0053522014781602,0.10298398857341004,142745,2.0,0.99728887176433501,287.82853072881022,9.3718128845142292,144165,0.42589170825092476,0.54356347763393265,0.61332650547119349,0.73921113139413119,29.998207780913905
13957_03,39.104084223428465,40.660886559089747,125642,3.6494928165778719,2.2477774213702943,227677,2.0319282939312373,0.22875095595022235,226257,2.0,0.97878076700389383,278.84817834453139,14.055072233996821,227677,0.42589170825092476,0.54356347763393265,0.65192775026249439,0.81402724949093752,29.998207780913905
13957_03,37.493498981501602,39.14532236646685,96711,3.8307911327877444,2.5477130585738483,181455,2.0564779070736248,0.26832000788800292,180035,2.0,0.95287582969978057,277.85320951791419,16.024854129889832,181455,0.42589170825092476,0.54356347763393265,0.8064362517942405,0.90573302184849702,29.998207780913905
